"","interval","temp","kWh"
"1",2012-10-22 07:30:00,14,0.185
"2",2012-10-22 08:00:00,14,0.179
"3",2012-10-22 08:30:00,14,0.176
"4",2012-10-22 09:00:00,14,0.153
"5",2012-10-22 09:30:00,14,0.175
"6",2012-10-22 10:00:00,14,0.193
"7",2012-10-22 10:30:00,14,0.598
"8",2012-10-22 11:00:00,14,0.191
"9",2012-10-22 11:30:00,14,0.243
"10",2012-10-22 12:00:00,14,0.148
"11",2012-10-22 13:00:00,14,0.293
"12",2012-10-22 13:30:00,14,0.214
"13",2012-10-22 14:00:00,14,0.409
"14",2012-10-22 14:30:00,14,0.615
"15",2012-10-22 15:00:00,14,0.575
"16",2012-10-22 15:30:00,14,0.362
"17",2012-10-22 16:00:00,14,0.149
"18",2012-10-22 16:30:00,13,0.185
"19",2012-10-22 17:00:00,14,0.185
"20",2012-10-22 17:30:00,14,0.209
"21",2012-10-22 18:00:00,14,0.346
"22",2012-10-22 18:30:00,14,0.482
"23",2012-10-22 19:00:00,14,0.718
"24",2012-10-22 19:30:00,14,0.313
"25",2012-10-22 20:00:00,14,0.476
"26",2012-10-22 20:30:00,14,0.557
"27",2012-10-22 21:00:00,14,0.321
"28",2012-10-22 21:30:00,14,0.388
"29",2012-10-22 22:00:00,14,0.976
"30",2012-10-22 22:30:00,13,0.412
"31",2012-10-22 23:00:00,13,0.587
"32",2012-10-22 23:30:00,13,0.076
"33",2012-10-23 07:00:00,12,0.22
"34",2012-10-23 07:30:00,12,0.17
"35",2012-10-23 08:00:00,12,0.191
"36",2012-10-23 08:30:00,12,0.149
"37",2012-10-23 09:00:00,12,0.169
"38",2012-10-23 09:30:00,12,0.164
"39",2012-10-23 10:00:00,13,0.17
"40",2012-10-23 10:30:00,13,0.15
"41",2012-10-23 11:30:00,13,0.144
"42",2012-10-23 12:00:00,13,0.163
"43",2012-10-23 12:30:00,13,0.158
"44",2012-10-23 13:00:00,13,0.259
"45",2012-10-23 13:30:00,13,0.249
"46",2012-10-23 14:00:00,13,0.661
"47",2012-10-23 14:30:00,13,0.302
"48",2012-10-23 15:00:00,13,0.163
"49",2012-10-23 15:30:00,14,0.177
"50",2012-10-23 16:00:00,14,0.145
"51",2012-10-23 16:30:00,14,0.152
"52",2012-10-23 17:00:00,14,0.294
"53",2012-10-23 17:30:00,14,0.619
"54",2012-10-23 18:00:00,14,0.205
"55",2012-10-23 18:30:00,14,0.443
"56",2012-10-23 19:00:00,14,0.707
"57",2012-10-23 19:30:00,14,0.54
"58",2012-10-23 20:00:00,14,0.484
"59",2012-10-23 20:30:00,14,0.655
"60",2012-10-23 21:00:00,14,0.389
"61",2012-10-23 21:30:00,14,0.295
"62",2012-10-23 22:00:00,14,0.235
"63",2012-10-23 22:30:00,14,0.795
"64",2012-10-23 23:00:00,14,0.163
"65",2012-10-23 23:30:00,14,0.753
"66",2012-11-14 07:00:00,10,0.103
"67",2012-11-14 07:30:00,10,0.317
"68",2012-11-14 08:00:00,9,0.416
"69",2012-11-14 08:30:00,9,0.268
"70",2012-11-14 09:00:00,9,0.375
"71",2012-11-14 09:30:00,9,0.208
"72",2012-11-14 10:00:00,9,0.236
"73",2012-11-14 10:30:00,10,0.27
"74",2012-11-14 11:00:00,10,0.175
"75",2012-11-14 11:30:00,10,0.125
"76",2012-11-14 12:00:00,11,0.111
"77",2012-11-14 12:30:00,11,0.077
"78",2012-11-14 13:00:00,12,0.227
"79",2012-11-14 13:30:00,11,0.071
"80",2012-11-14 14:00:00,11,0.073
"81",2012-11-14 14:30:00,11,0.144
"82",2012-11-14 15:00:00,11,0.153
"83",2012-11-14 15:30:00,10,0.147
"84",2012-11-14 16:00:00,9,0.143
"85",2012-11-14 16:30:00,8,0.141
"86",2012-11-14 17:00:00,8,0.242
"87",2012-11-14 17:30:00,8,0.332
"88",2012-11-14 18:00:00,7,0.302
"89",2012-11-14 18:30:00,8,0.416
"90",2012-11-14 19:00:00,7,0.43
"91",2012-11-14 19:30:00,6,0.668
"92",2012-11-14 20:00:00,6,0.41
"93",2012-11-14 20:30:00,6,0.48
"94",2012-11-14 21:00:00,7,0.553
"95",2012-11-14 21:30:00,7,0.436
"96",2012-11-14 22:00:00,7,0.173
"97",2012-11-14 22:30:00,6,0.609
"98",2012-11-14 23:00:00,7,0.247
"99",2012-11-14 23:30:00,7,0.636
"100",2012-11-23 07:00:00,7,0.26
"101",2012-11-23 07:30:00,7,0.382
"102",2012-11-23 08:00:00,7,0.186
"103",2012-11-23 08:30:00,7,0.177
"104",2012-11-23 09:00:00,7,0.177
"105",2012-11-23 09:30:00,7,0.157
"106",2012-11-23 10:00:00,7,0.219
"107",2012-11-23 10:30:00,8,0.13
"108",2012-11-23 11:00:00,9,0.136
"109",2012-11-23 11:30:00,9,0.113
"110",2012-11-23 12:00:00,9,0.16
"111",2012-11-23 12:30:00,9,0.092
"112",2012-11-23 13:00:00,9,0.119
"113",2012-11-23 13:30:00,9,0.097
"114",2012-11-23 14:00:00,10,0.1
"115",2012-11-23 14:30:00,11,0.116
"116",2012-11-23 15:00:00,10,0.106
"117",2012-11-23 15:30:00,10,0.122
"118",2012-11-23 16:00:00,9,0.115
"119",2012-11-23 16:30:00,8,0.186
"120",2012-11-23 17:00:00,8,0.361
"121",2012-11-23 17:30:00,8,0.194
"122",2012-11-23 18:00:00,8,0.218
"123",2012-11-23 18:30:00,8,0.203
"124",2012-11-23 19:00:00,7,0.249
"125",2012-11-23 19:30:00,6,0.495
"126",2012-11-23 20:00:00,5,0.343
"127",2012-11-23 20:30:00,4,0.222
"128",2012-11-23 21:00:00,4,0.19
"129",2012-11-23 21:30:00,3,0.27
"130",2012-11-23 22:00:00,3,0.253
"131",2012-11-23 22:30:00,3,0.335
"132",2012-11-23 23:00:00,3,0.412
"133",2012-11-23 23:30:00,3,0.723
"134",2012-12-01 07:00:00,-2,0.093
"135",2012-12-01 07:30:00,-1,0.175
"136",2012-12-01 08:00:00,0,0.394
"137",2012-12-01 08:30:00,1,0.456
"138",2012-12-01 09:00:00,0,0.227
"139",2012-12-01 09:30:00,1,0.356
"140",2012-12-01 10:00:00,1,0.191
"141",2012-12-01 10:30:00,2,0.214
"142",2012-12-01 11:00:00,2,0.2
"143",2012-12-01 11:30:00,4,0.174
"144",2012-12-01 12:00:00,4,0.165
"145",2012-12-01 12:30:00,4,0.149
"146",2012-12-01 13:00:00,4,0.089
"147",2012-12-01 13:30:00,5,0.077
"148",2012-12-01 14:00:00,5,0.076
"149",2012-12-01 14:30:00,5,0.076
"150",2012-12-01 15:00:00,4,0.075
"151",2012-12-01 15:30:00,5,0.074
"152",2012-12-01 16:00:00,4,0.177
"153",2012-12-01 16:30:00,4,0.16
"154",2012-12-01 17:00:00,4,0.221
"155",2012-12-01 17:30:00,3,0.242
"156",2012-12-01 18:00:00,3,0.411
"157",2012-12-01 18:30:00,3,0.539
"158",2012-12-01 19:00:00,3,0.494
"159",2012-12-01 19:30:00,2,0.351
"160",2012-12-01 20:00:00,2,0.334
"161",2012-12-01 20:30:00,2,0.564
"162",2012-12-01 21:00:00,2,0.553
"163",2012-12-01 21:30:00,2,0.464
"164",2012-12-01 22:00:00,2,0.349
"165",2012-12-01 22:30:00,2,0.486
"166",2012-12-01 23:00:00,1,0.861
"167",2012-12-01 23:30:00,1,0.739
"168",2012-12-20 07:00:00,6,0.129
"169",2012-12-20 07:30:00,6,0.128
"170",2012-12-20 08:00:00,7,0.125
"171",2012-12-20 09:00:00,6,0.245
"172",2012-12-20 09:30:00,7,0.392
"173",2012-12-20 10:00:00,7,0.19
"174",2012-12-20 10:30:00,7,0.205
"175",2012-12-20 11:00:00,8,0.306
"176",2012-12-20 11:30:00,8,0.315
"177",2012-12-20 12:00:00,8,0.259
"178",2012-12-20 12:30:00,8,0.194
"179",2012-12-20 13:00:00,8,0.133
"180",2012-12-20 14:00:00,8,0.099
"181",2012-12-20 14:30:00,8,0.1
"182",2012-12-20 15:00:00,8,0.1
"183",2012-12-20 15:30:00,7,0.099
"184",2012-12-20 16:00:00,8,0.155
"185",2012-12-20 16:30:00,8,0.267
"186",2012-12-20 17:00:00,8,0.388
"187",2012-12-20 17:30:00,7,0.256
"188",2012-12-20 18:00:00,8,0.398
"189",2012-12-20 18:30:00,8,0.45
"190",2012-12-20 19:00:00,8,0.279
"191",2012-12-20 19:30:00,9,0.334
"192",2012-12-20 20:00:00,10,0.328
"193",2012-12-20 20:30:00,10,0.222
"194",2012-12-20 21:00:00,9,0.243
"195",2012-12-20 21:30:00,9,0.235
"196",2012-12-20 22:00:00,9,0.252
"197",2012-12-20 22:30:00,8,0.237
"198",2012-12-20 23:00:00,8,0.572
"199",2013-01-10 07:00:00,1,0.13
"200",2013-01-10 07:30:00,1,0.129
"201",2013-01-10 08:00:00,1,0.126
"202",2013-01-10 08:30:00,0,0.341
"203",2013-01-10 09:00:00,1,0.259
"204",2013-01-10 09:30:00,1,0.229
"205",2013-01-10 10:00:00,1,0.139
"206",2013-01-10 10:30:00,0,0.181
"207",2013-01-10 11:00:00,0,0.139
"208",2013-01-10 11:30:00,1,0.118
